Pollutant,Measure Info,Geo Place Name,Year,Data Value
Nitrogen dioxide (NO2),ppb,High Bridge - Morrisania,2021,18.04
Nitrogen dioxide (NO2),ppb,Rockaways,2021,11.41
Nitrogen dioxide (NO2),ppb,Financial District (CD1),2021,21.61
Nitrogen dioxide (NO2),ppb,Woodside and Sunnyside (CD2),2021,20.21
Nitrogen dioxide (NO2),ppb,Hunts Point - Mott Haven,2021,18.52
Nitrogen dioxide (NO2),ppb,Greenpoint,2021,20.55
Nitrogen dioxide (NO2),ppb,Upper East Side (CD8),2021,20.37
Nitrogen dioxide (NO2),ppb,Bay Ridge and Dyker Heights (CD10),2021,16.42
Nitrogen dioxide (NO2),ppb,Borough Park (CD12),2021,16.92
Nitrogen dioxide (NO2),ppb,East New York,2021,16.12
Nitrogen dioxide (NO2),ppb,Flushing - Clearview,2021,15.66
Nitrogen dioxide (NO2),ppb,Upper East Side-Gramercy,2021,21.83
Nitrogen dioxide (NO2),ppb,Greenpoint,2021,20.55
Nitrogen dioxide (NO2),ppb,Kingsbridge - Riverdale,2021,14.77
Nitrogen dioxide (NO2),ppb,West Queens,2021,18.56
Nitrogen dioxide (NO2),ppb,Sunset Park,2021,18.03
Nitrogen dioxide (NO2),ppb,Bensonhurst - Bay Ridge,2021,16.03
Nitrogen dioxide (NO2),ppb,Williamsburg - Bushwick,2021,19.04
Nitrogen dioxide (NO2),ppb,Northern SI,2021,14.76
Nitrogen dioxide (NO2),ppb,Fordham - Bronx Pk,2021,16.03
Nitrogen dioxide (NO2),ppb,Clinton and Chelsea (CD4),2021,22.28
Nitrogen dioxide (NO2),ppb,Stuyvesant Town and Turtle Bay (CD6),2021,22.13
Nitrogen dioxide (NO2),ppb,East Harlem,2021,18.28
Nitrogen dioxide (NO2),ppb,Downtown - Heights - Slope,2021,18.78
Nitrogen dioxide (NO2),ppb,Midtown (CD5),2021,25.23
Nitrogen dioxide (NO2),ppb,Southwest Queens,2021,15.1
Nitrogen dioxide (NO2),ppb,Southeast Queens,2021,14.25
Nitrogen dioxide (NO2),ppb,Greenwich Village - SoHo,2021,21.3
Fine particles (PM 2.5),mcg/m3,Hunts Point - Mott Haven,2021,6.98
Fine particles (PM 2.5),mcg/m3,Greenpoint,2021,7.67
Fine particles (PM 2.5),mcg/m3,Borough Park (CD12),2021,6.45
Nitrogen dioxide (NO2),ppb,Riverdale and Fieldston (CD8),2021,14.7
Fine particles (PM 2.5),mcg/m3,Belmont and East Tremont (CD6),2021,6.8
Fine particles (PM 2.5),mcg/m3,Park Slope and Carroll Gardens (CD6),2021,7.06
Fine particles (PM 2.5),mcg/m3,Crown Heights and Prospect Heights (CD8),2021,6.72
Nitrogen dioxide (NO2),ppb,Crown Heights and Prospect Heights (CD8),2021,17.46
Fine particles (PM 2.5),mcg/m3,Hillcrest and Fresh Meadows (CD8),2021,6.29
Nitrogen dioxide (NO2),ppb,Upper West Side,2021,19.17
Fine particles (PM 2.5),mcg/m3,Woodside and Sunnyside (CD2),2021,7.61
Fine particles (PM 2.5),mcg/m3,Financial District (CD1),2021,7.66
Nitrogen dioxide (NO2),ppb,Fort Greene and Brooklyn Heights (CD2),2021,18.8
Nitrogen dioxide (NO2),ppb,Long Island City - Astoria,2021,19.0
Nitrogen dioxide (NO2),ppb,South Bronx,2021,18.12
Nitrogen dioxide (NO2),ppb,Coney Island (CD13),2021,14.09
Fine particles (PM 2.5),mcg/m3,Coney Island (CD13),2021,6.26
Fine particles (PM 2.5),mcg/m3,Sheepshead Bay (CD15),2021,6.27
Fine particles (PM 2.5),mcg/m3,Jamaica and Hollis (CD12),2021,6.33
Nitrogen dioxide (NO2),ppb,West Queens,2021,18.56
Nitrogen dioxide (NO2),ppb,Stapleton - St. George,2021,14.28
Nitrogen dioxide (NO2),ppb,Morningside Heights and Hamilton Heights (CD9),2021,17.96
Nitrogen dioxide (NO2),ppb,Bensonhurst (CD11),2021,16.4
Fine particles (PM 2.5),mcg/m3,Bensonhurst (CD11),2021,6.37
Fine particles (PM 2.5),mcg/m3,Parkchester and Soundview (CD9),2021,6.69
Nitrogen dioxide (NO2),ppb,Kew Gardens and Woodhaven (CD9),2021,15.81
Nitrogen dioxide (NO2),ppb,Sunset Park (CD7),2021,18.06
Fine particles (PM 2.5),mcg/m3,Flushing and Whitestone (CD7),2021,6.47
Fine particles (PM 2.5),mcg/m3,Riverdale and Fieldston (CD8),2021,6.55
Fine particles (PM 2.5),mcg/m3,Rego Park and Forest Hills (CD6),2021,6.43
Nitrogen dioxide (NO2),ppb,Jackson Heights (CD3),2021,16.91
Nitrogen dioxide (NO2),ppb,Flushing and Whitestone (CD7),2021,15.66
Nitrogen dioxide (NO2),ppb,Jamaica and Hollis (CD12),2021,15.13
Fine particles (PM 2.5),mcg/m3,Fordham - Bronx Pk,2021,6.58
Fine particles (PM 2.5),mcg/m3,Long Island City and Astoria (CD1),2021,6.76
Fine particles (PM 2.5),mcg/m3,Fort Greene and Brooklyn Heights (CD2),2021,7.1
Fine particles (PM 2.5),mcg/m3,Greenwich Village - SoHo,2021,8.22
Fine particles (PM 2.5),mcg/m3,Washington Heights,2021,6.86
Nitrogen dioxide (NO2),ppb,Ridgewood and Maspeth (CD5),2021,17.51
Fine particles (PM 2.5),mcg/m3,Ridgewood and Maspeth (CD5),2021,6.96
Fine particles (PM 2.5),mcg/m3,Chelsea - Clinton,2021,8.44
Fine particles (PM 2.5),mcg/m3,Brownsville (CD16),2021,6.52
Fine particles (PM 2.5),mcg/m3,Borough Park,2021,6.43
Fine particles (PM 2.5),mcg/m3,St. George and Stapleton (CD1),2021,6.34
Fine particles (PM 2.5),mcg/m3,Jamaica,2021,6.43
Fine particles (PM 2.5),mcg/m3,East Flatbush (CD17),2021,6.47
Fine particles (PM 2.5),mcg/m3,Tottenville and Great Kills (CD3),2021,6.03
Fine particles (PM 2.5),mcg/m3,Jackson Heights (CD3),2021,6.64
Fine particles (PM 2.5),mcg/m3,Elmhurst and Corona (CD4),2021,6.71
Fine particles (PM 2.5),mcg/m3,Central Harlem - Morningside Heights,2021,6.78
Fine particles (PM 2.5),mcg/m3,Fresh Meadows,2021,6.27
Nitrogen dioxide (NO2),ppb,Fresh Meadows,2021,14.9
Fine particles (PM 2.5),mcg/m3,South Ozone Park and Howard Beach (CD10),2021,6.19
Nitrogen dioxide (NO2),ppb,Ridgewood - Forest Hills,2021,16.04
Nitrogen dioxide (NO2),ppb,Queens Village (CD13),2021,14.62
Fine particles (PM 2.5),mcg/m3,Queens Village (CD13),2021,6.34
Fine particles (PM 2.5),mcg/m3,Southeast Queens,2021,6.23
Fine particles (PM 2.5),mcg/m3,Flushing - Clearview,2021,6.45
Fine particles (PM 2.5),mcg/m3,Kew Gardens and Woodhaven (CD9),2021,6.46
Fine particles (PM 2.5),mcg/m3,West Queens,2021,7.14
Fine particles (PM 2.5),mcg/m3,Bayside and Little Neck (CD11),2021,6.28
Fine particles (PM 2.5),mcg/m3,Southwest Queens,2021,6.3
Nitrogen dioxide (NO2),ppb,Southwest Queens,2021,15.1
Nitrogen dioxide (NO2),ppb,Bensonhurst - Bay Ridge,2021,16.03
Fine particles (PM 2.5),mcg/m3,Long Island City - Astoria,2021,7.2
Fine particles (PM 2.5),mcg/m3,South Bronx,2021,6.83
Fine particles (PM 2.5),mcg/m3,Southwest Queens,2021,6.3
Fine particles (PM 2.5),mcg/m3,Port Richmond,2021,6.37
Fine particles (PM 2.5),mcg/m3,Rockaways,2021,5.92
Fine particles (PM 2.5),mcg/m3,Stapleton - St. George,2021,6.25
Nitrogen dioxide (NO2),ppb,Union Square-Lower Manhattan,2021,20.16
Fine particles (PM 2.5),mcg/m3,Southern SI,2021,6.09
Nitrogen dioxide (NO2),ppb,Port Richmond,2021,15.66
Fine particles (PM 2.5),mcg/m3,Willowbrook,2021,6.18
Fine particles (PM 2.5),mcg/m3,Ridgewood - Forest Hills,2021,6.54
Nitrogen dioxide (NO2),ppb,Chelsea-Village,2021,22.64
Fine particles (PM 2.5),mcg/m3,Union Square-Lower Manhattan,2021,7.73
Fine particles (PM 2.5),mcg/m3,Northern SI,2021,6.29
Fine particles (PM 2.5),mcg/m3,West Queens,2021,7.14
Fine particles (PM 2.5),mcg/m3,Kingsbridge - Riverdale,2021,6.57
Fine particles (PM 2.5),mcg/m3,Central Harlem - Morningside Heights,2021,6.78
Nitrogen dioxide (NO2),ppb,Brownsville (CD16),2021,16.73
Fine particles (PM 2.5),mcg/m3,Ridgewood - Forest Hills,2021,6.54
Fine particles (PM 2.5),mcg/m3,Rockaways,2021,5.92
Nitrogen dioxide (NO2),ppb,Chelsea - Clinton,2021,23.32
Fine particles (PM 2.5),mcg/m3,Jamaica,2021,6.43
Fine particles (PM 2.5),mcg/m3,East New York,2021,6.55
Fine particles (PM 2.5),mcg/m3,Upper East Side-Gramercy,2021,7.55
Nitrogen dioxide (NO2),ppb,East New York and Starrett City (CD5),2021,15.86
Nitrogen dioxide (NO2),ppb,South Ozone Park and Howard Beach (CD10),2021,14.64
Nitrogen dioxide (NO2),ppb,Rego Park and Forest Hills (CD6),2021,15.83
Nitrogen dioxide (NO2),ppb,Hillcrest and Fresh Meadows (CD8),2021,14.66
Fine particles (PM 2.5),mcg/m3,Chelsea-Village,2021,8.37
Nitrogen dioxide (NO2),ppb,Central Harlem - Morningside Heights,2021,18.21
Fine particles (PM 2.5),mcg/m3,Flushing - Clearview,2021,6.45
Fine particles (PM 2.5),mcg/m3,Lower Manhattan,2021,7.58
Fine particles (PM 2.5),mcg/m3,Union Square - Lower East Side,2021,7.8
Fine particles (PM 2.5),mcg/m3,Flatlands and Canarsie (CD18),2021,6.25
Nitrogen dioxide (NO2),ppb,Sheepshead Bay (CD15),2021,14.85
Nitrogen dioxide (NO2),ppb,Flushing - Clearview,2021,15.66
Fine particles (PM 2.5),mcg/m3,South Crown Heights and Lefferts Gardens (CD9),2021,6.5
Fine particles (PM 2.5),mcg/m3,Morris Park and Bronxdale (CD11),2021,6.55
Fine particles (PM 2.5),mcg/m3,Downtown - Heights - Slope,2021,7.1
Fine particles (PM 2.5),mcg/m3,East Harlem,2021,6.79
Nitrogen dioxide (NO2),ppb,Park Slope and Carroll Gardens (CD6),2021,18.6
Nitrogen dioxide (NO2),ppb,Willowbrook,2021,13.26
Fine particles (PM 2.5),mcg/m3,Bay Ridge and Dyker Heights (CD10),2021,6.53
Nitrogen dioxide (NO2),ppb,Bayside and Little Neck (CD11),2021,14.17
Nitrogen dioxide (NO2),ppb,Upper East Side,2021,20.31
Fine particles (PM 2.5),mcg/m3,Throgs Neck and Co-op City (CD10),2021,6.52
Nitrogen dioxide (NO2),ppb,Tottenville and Great Kills (CD3),2021,11.12
Nitrogen dioxide (NO2),ppb,Elmhurst and Corona (CD4),2021,17.49
Nitrogen dioxide (NO2),ppb,St. George and Stapleton (CD1),2021,15.32
Nitrogen dioxide (NO2),ppb,South Crown Heights and Lefferts Gardens (CD9),2021,17.02
Nitrogen dioxide (NO2),ppb,Long Island City - Astoria,2021,19.0
Nitrogen dioxide (NO2),ppb,Throgs Neck and Co-op City (CD10),2021,15.39
Fine particles (PM 2.5),mcg/m3,South Beach and Willowbrook (CD2),2021,6.16
Nitrogen dioxide (NO2),ppb,Morris Park and Bronxdale (CD11),2021,16.29
Nitrogen dioxide (NO2),ppb,East Flatbush (CD17),2021,16.52
Nitrogen dioxide (NO2),ppb,Flatlands and Canarsie (CD18),2021,14.26
Nitrogen dioxide (NO2),ppb,Bushwick (CD4),2021,17.51
Nitrogen dioxide (NO2),ppb,Bedford Stuyvesant (CD3),2021,17.88
Nitrogen dioxide (NO2),ppb,South Beach and Willowbrook (CD2),2021,13.01
Nitrogen dioxide (NO2),ppb,Long Island City and Astoria (CD1),2021,17.34
Fine particles (PM 2.5),mcg/m3,Gramercy Park - Murray Hill,2021,8.15
Fine particles (PM 2.5),mcg/m3,Bushwick (CD4),2021,6.87
Nitrogen dioxide (NO2),ppb,Jamaica,2021,15.3
Nitrogen dioxide (NO2),ppb,Gramercy Park - Murray Hill,2021,23.54
Fine particles (PM 2.5),mcg/m3,Canarsie - Flatlands,2021,6.27
Fine particles (PM 2.5),mcg/m3,East Flatbush - Flatbush,2021,6.44
Nitrogen dioxide (NO2),ppb,Greenpoint and Williamsburg (CD1),2021,20.75
Fine particles (PM 2.5),mcg/m3,Williamsburg - Bushwick,2021,7.25
Fine particles (PM 2.5),mcg/m3,Rockaway and Broad Channel (CD14),2021,5.92
Nitrogen dioxide (NO2),ppb,Lower Manhattan,2021,21.49
Nitrogen dioxide (NO2),ppb,Union Square - Lower East Side,2021,19.55
Fine particles (PM 2.5),mcg/m3,Upper East Side,2021,7.02
Nitrogen dioxide (NO2),ppb,Coney Island - Sheepshead Bay,2021,14.68
Nitrogen dioxide (NO2),ppb,Borough Park,2021,16.74
Fine particles (PM 2.5),mcg/m3,Coney Island - Sheepshead Bay,2021,6.27
Fine particles (PM 2.5),mcg/m3,Upper West Side,2021,6.8
Nitrogen dioxide (NO2),ppb,South Beach - Tottenville,2021,11.3
Fine particles (PM 2.5),mcg/m3,South Beach - Tottenville,2021,6.04
Fine particles (PM 2.5),mcg/m3,Bayside - Little Neck,2021,6.29
Nitrogen dioxide (NO2),ppb,Washington Heights,2021,17.1
Nitrogen dioxide (NO2),ppb,Williamsbridge and Baychester (CD12),2021,15.64
Fine particles (PM 2.5),mcg/m3,Southeast Queens,2021,6.23
Fine particles (PM 2.5),mcg/m3,Bayside Little Neck-Fresh Meadows,2021,6.28
Nitrogen dioxide (NO2),ppb,Washington Heights and Inwood (CD12),2021,16.91
Fine particles (PM 2.5),mcg/m3,Washington Heights and Inwood (CD12),2021,6.88
Fine particles (PM 2.5),mcg/m3,Central Harlem (CD10),2021,6.77
Nitrogen dioxide (NO2),ppb,Belmont and East Tremont (CD6),2021,17.36
Fine particles (PM 2.5),mcg/m3,Bedford Stuyvesant - Crown Heights,2021,6.61
Nitrogen dioxide (NO2),ppb,Canarsie - Flatlands,2021,14.28
Nitrogen dioxide (NO2),ppb,East Flatbush - Flatbush,2021,16.38
Fine particles (PM 2.5),mcg/m3,Bedford Stuyvesant (CD3),2021,6.84
Fine particles (PM 2.5),mcg/m3,Morrisania and Crotona (CD3),2021,6.7
Fine particles (PM 2.5),mcg/m3,Highbridge and Concourse (CD4),2021,6.65
Fine particles (PM 2.5),mcg/m3,Upper East Side (CD8),2021,7.03
Fine particles (PM 2.5),mcg/m3,Williamsbridge and Baychester (CD12),2021,6.49
Fine particles (PM 2.5),mcg/m3,East New York and Starrett City (CD5),2021,6.51
Fine particles (PM 2.5),mcg/m3,Fordham and University Heights (CD5),2021,6.76
Nitrogen dioxide (NO2),ppb,Mott Haven and Melrose (CD1),2021,18.75
Fine particles (PM 2.5),mcg/m3,Greenpoint and Williamsburg (CD1),2021,7.74
Fine particles (PM 2.5),mcg/m3,Mott Haven and Melrose (CD1),2021,6.84
Fine particles (PM 2.5),mcg/m3,High Bridge - Morrisania,2021,6.63
Fine particles (PM 2.5),mcg/m3,Bensonhurst - Bay Ridge,2021,6.43
Fine particles (PM 2.5),mcg/m3,Sunset Park,2021,6.99
Fine particles (PM 2.5),mcg/m3,East Harlem (CD11),2021,6.79
Nitrogen dioxide (NO2),ppb,Jamaica,2021,15.3
Nitrogen dioxide (NO2),ppb,Rockaways,2021,11.41
Nitrogen dioxide (NO2),ppb,Southern SI,2021,12.03
Fine particles (PM 2.5),mcg/m3,Long Island City - Astoria,2021,7.2
Nitrogen dioxide (NO2),ppb,Sunset Park,2021,18.03
Fine particles (PM 2.5),mcg/m3,East Harlem,2021,6.79
Nitrogen dioxide (NO2),ppb,East Harlem,2021,18.28
Nitrogen dioxide (NO2),ppb,Central Harlem (CD10),2021,18.31
Nitrogen dioxide (NO2),ppb,Coney Island - Sheepshead Bay,2021,14.68
Nitrogen dioxide (NO2),ppb,East Harlem (CD11),2021,18.25
Fine particles (PM 2.5),mcg/m3,Coney Island - Sheepshead Bay,2021,6.27
Nitrogen dioxide (NO2),ppb,Rockaway and Broad Channel (CD14),2021,11.34
Nitrogen dioxide (NO2),ppb,Flatbush and Midwood (CD14),2021,16.17
Fine particles (PM 2.5),mcg/m3,East Flatbush - Flatbush,2021,6.44
Nitrogen dioxide (NO2),ppb,Fordham and University Heights (CD5),2021,18.12
Fine particles (PM 2.5),mcg/m3,Borough Park,2021,6.43
Nitrogen dioxide (NO2),ppb,Ridgewood - Forest Hills,2021,16.04
Fine particles (PM 2.5),mcg/m3,Washington Heights,2021,6.86
Nitrogen dioxide (NO2),ppb,Central Harlem - Morningside Heights,2021,18.21
Nitrogen dioxide (NO2),ppb,Washington Heights,2021,17.1
Fine particles (PM 2.5),mcg/m3,Greenpoint,2021,7.67
Nitrogen dioxide (NO2),ppb,Highbridge and Concourse (CD4),2021,18.11
Nitrogen dioxide (NO2),ppb,Morrisania and Crotona (CD3),2021,17.32
Fine particles (PM 2.5),mcg/m3,Flatbush and Midwood (CD14),2021,6.43
Fine particles (PM 2.5),mcg/m3,Sunset Park (CD7),2021,7.0
Fine particles (PM 2.5),mcg/m3,Kingsbridge Heights and Bedford (CD7),2021,6.64
Nitrogen dioxide (NO2),ppb,Bayside - Little Neck,2021,13.91
Nitrogen dioxide (NO2),ppb,East New York,2021,16.12
Nitrogen dioxide (NO2),ppb,Williamsburg - Bushwick,2021,19.04
Nitrogen dioxide (NO2),ppb,Bedford Stuyvesant - Crown Heights,2021,17.12
Nitrogen dioxide (NO2),ppb,Borough Park,2021,16.74
Nitrogen dioxide (NO2),ppb,Upper West Side,2021,19.17
Nitrogen dioxide (NO2),ppb,Parkchester and Soundview (CD9),2021,16.64
Fine particles (PM 2.5),mcg/m3,Upper West Side,2021,6.8
Fine particles (PM 2.5),mcg/m3,Downtown - Heights - Slope,2021,7.1
Fine particles (PM 2.5),mcg/m3,Bedford Stuyvesant - Crown Heights,2021,6.61
Fine particles (PM 2.5),mcg/m3,Pelham - Throgs Neck,2021,6.6
Fine particles (PM 2.5),mcg/m3,Fordham - Bronx Pk,2021,6.58
Fine particles (PM 2.5),mcg/m3,Williamsburg - Bushwick,2021,7.25
Fine particles (PM 2.5),mcg/m3,Bensonhurst - Bay Ridge,2021,6.43
Nitrogen dioxide (NO2),ppb,Crotona -Tremont,2021,17.64
Fine particles (PM 2.5),mcg/m3,Canarsie - Flatlands,2021,6.27
Nitrogen dioxide (NO2),ppb,New York City,2021,15.68
Nitrogen dioxide (NO2),ppb,Kingsbridge - Riverdale,2021,14.77
Nitrogen dioxide (NO2),ppb,Northeast Bronx,2021,15.98
Fine particles (PM 2.5),mcg/m3,New York City,2021,6.54
Nitrogen dioxide (NO2),ppb,Manhattan,2021,19.97
Nitrogen dioxide (NO2),ppb,Lower East Side and Chinatown (CD3),2021,19.29
Nitrogen dioxide (NO2),ppb,Hunts Point and Longwood (CD2),2021,19.31
Nitrogen dioxide (NO2),ppb,Greenwich Village and Soho (CD2),2021,21.21
Nitrogen dioxide (NO2),ppb,Bronx,2021,16.54
Nitrogen dioxide (NO2),ppb,Brooklyn,2021,16.68
Nitrogen dioxide (NO2),ppb,Kingsbridge Heights and Bedford (CD7),2021,16.86
Fine particles (PM 2.5),mcg/m3,Greenwich Village and Soho (CD2),2021,8.47
Fine particles (PM 2.5),mcg/m3,Hunts Point and Longwood (CD2),2021,7.29
Nitrogen dioxide (NO2),ppb,Queens,2021,15.46
Fine particles (PM 2.5),mcg/m3,Lower East Side and Chinatown (CD3),2021,7.61
Fine particles (PM 2.5),mcg/m3,Midtown (CD5),2021,8.95
Fine particles (PM 2.5),mcg/m3,Clinton and Chelsea (CD4),2021,8.07
Fine particles (PM 2.5),mcg/m3,Stuyvesant Town and Turtle Bay (CD6),2021,7.86
Fine particles (PM 2.5),mcg/m3,Brooklyn,2021,6.63
Fine particles (PM 2.5),mcg/m3,Morningside Heights and Hamilton Heights (CD9),2021,6.79
Fine particles (PM 2.5),mcg/m3,East New York,2021,6.55
Fine particles (PM 2.5),mcg/m3,Upper West Side (CD7),2021,6.79
Fine particles (PM 2.5),mcg/m3,Crotona -Tremont,2021,6.79
Fine particles (PM 2.5),mcg/m3,Bronx,2021,6.64
Fine particles (PM 2.5),mcg/m3,Manhattan,2021,7.41
Fine particles (PM 2.5),mcg/m3,Kingsbridge - Riverdale,2021,6.57
Nitrogen dioxide (NO2),ppb,Downtown - Heights - Slope,2021,18.78
Nitrogen dioxide (NO2),ppb,Northeast Bronx,2021,15.98
Nitrogen dioxide (NO2),ppb,Bayside Little Neck-Fresh Meadows,2021,14.31
Nitrogen dioxide (NO2),ppb,Southeast Queens,2021,14.25
Nitrogen dioxide (NO2),ppb,Pelham - Throgs Neck,2021,16.01
Nitrogen dioxide (NO2),ppb,Bedford Stuyvesant - Crown Heights,2021,17.12
Nitrogen dioxide (NO2),ppb,Fordham - Bronx Pk,2021,16.03
Fine particles (PM 2.5),mcg/m3,Queens,2021,6.48
Fine particles (PM 2.5),mcg/m3,Northeast Bronx,2021,6.49
Fine particles (PM 2.5),mcg/m3,Northeast Bronx,2021,6.49
Nitrogen dioxide (NO2),ppb,East Flatbush - Flatbush,2021,16.38
Nitrogen dioxide (NO2),ppb,Canarsie - Flatlands,2021,14.28
Nitrogen dioxide (NO2),ppb,Upper West Side (CD7),2021,19.19
Fine particles (PM 2.5),mcg/m3,Sunset Park,2021,6.99
Nitrogen dioxide (NO2),ppb,Pelham - Throgs Neck,2021,16.01
Nitrogen dioxide (NO2),ppb,Staten Island,2021,12.84
Fine particles (PM 2.5),mcg/m3,Staten Island,2021,6.15
Fine particles (PM 2.5),mcg/m3,Pelham - Throgs Neck,2021,6.6
